Masked Date,col-A1,col-A2,col-A3,col-A4,col-B1,col-B2,col-B3,col-B4,col-C1,col-C2,col-C3,col-C4,col-D1,col-D2,col-D3,col-D4,col-E1,col-E2,col-E3,col-E4,col-F1,col-F2,col-F3,col-F4,col-G,col-H,col-I,col-J,col-L,col-M,col-N,col-N1,col-O,col-P,col-Q,col-R,col-S,col-T,col-U,col-V,col-W,col-Predict
52,3750.164924,671.8130209,5463.399524,1413.758249,0.438459055,0,742.2238157,198.5330158,1.891635166,0,371.1760137,48.24239126,0,0,216.7111244,0.97790127,0,0,174.97842,0.67274622,0,0,0,4.02091463,5465.330274,7593.671882,1.12612654,144,0,4213.347424,244.4821646,0,400,0,0,0,500,300,620.0063805,0,12959.64784,19237.4838
52,3750.164924,671.8130209,5463.399524,1413.758249,0.438459055,0,742.2238157,198.5330158,1.891635166,0,371.1760137,48.24239126,0,0,216.7111244,0.97790127,0,0,174.97842,0.67274622,0,0,0,4.02091463,5465.330274,7593.671882,1.12612654,144,0,0.8,244.4821646,0,400,0.80212813,0,0,500,300,620.0063805,0,12959.64784,15025.73851
53,3600.182182,671.8130209,5459.822684,1413.758249,0.439196026,0,742.7770395,198.5330158,1.892470694,0,370.8864073,48.24239126,0,0,217.5271973,0.97790127,0,0,175.1019551,0.67274622,0,0,0,4.02091463,5319.429476,7587.217895,1.12612654,144,0,0.80212813,244.4821646,0,400,4213.347424,0,0,500,300,295.002457,0,12807.28784,18760.92201
53,3600.182182,671.8130209,5459.822684,1413.758249,0.439196026,0,742.7770395,198.5330158,1.892470694,0,370.8864073,48.24239126,0,0,217.5271973,0.97790127,0,0,175.1019551,0.67274622,0,0,0,4.02091463,5319.429476,7587.217895,1.12612654,144,0,0.80212813,244.4821646,0,400,4213.347424,0,0,500,300,295.002457,0,12807.28784,18760.92201
54,3598.470067,671.8130209,5454.687083,1413.758249,0.436054201,0,737.0564734,198.5330158,1.88188734,0,369.1284126,48.24239126,0,0,216.3369758,0.97790127,0,0,174.8562776,0.67274622,0,0,0,4.02091463,5317.680047,7573.191422,1.12612654,144,0,0.80212813,244.4821646,0,480,4213.347424,0,0,500,300,457.002682,90,12791.51784,19077.15223
57,3595.807976,671.8130209,5458.17593,1413.758249,0.436791173,0,738.5988511,198.5330158,1.864898273,0,366.3617385,48.24239126,0,0,217.3290794,0.97790127,0,0,175.4694673,0.67274622,0,0,0,4.02091463,5315.020684,7577.042287,1.12612654,144,0,0.80212813,244.4821646,0,480,4213.347424,0,0,500,300,521.00525,30,12792.70784,19082.3448
58,3595.728777,671.8130209,5458.415823,1413.758249,0.432718437,0,731.7243547,198.5330158,1.859328087,0,365.2793342,48.24239126,0,0,216.2259107,0.97790127,0,0,174.3960366,0.67274622,0,0,0,4.02091463,5314.844435,7567.236087,1.12612654,144,0,0.80212813,244.4821646,0,480,4213.347424,0,0,500,300,521.00525,30,12782.72784,19072.3648
60,3228.948993,671.8130209,5487.116452,1413.758249,0.431322071,0,736.1848506,198.5330158,1.854454174,0,367.6804775,48.24239126,0,0,219.9129809,0.97790127,0,0,176.1596489,0.67274622,0,0,0,4.02091463,4951.591999,7604.715419,1.12612654,144,0,0.80215932,244.4821646,0,480,4213.347424,0,40,500,300,125.0022417,150,12456.94784,18510.58182
61,3227.161312,671.8130209,5466.403089,1413.758249,0.43039116,0,732.2188731,198.5330158,1.864619764,0,367.3913136,48.24239126,0,0,219.9488585,0.97790127,0,0,176.9258901,0.67274622,0,0,0,4.02091463,4949.594755,7580.76783,1.12612654,144,0,0.80215932,244.4821646,0,680,4213.347424,0,40,500,300,335.0024083,150,12431.00784,18894.64199
64,2582.170964,671.8130209,5478.217756,1413.758249,0.423025722,0,720.9640399,198.5330158,1.839224395,0,362.5443676,48.24239126,0,0,222.0509688,0.97790127,0,0,175.6552713,0.67274622,0,0,0,4.02091463,4304.425883,7577.457974,1.12612654,144,0,0.80215932,244.4821646,0,680,4213.347424,0,40,500,300,258.0030939,0,11782.52784,18019.16268
